"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Liverpool","Premier League","team",27,38,NA,NA,0,344,305,70,764,379,450,3,6,0,2258,585,650,47.4,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Liverpool","Premier League","opponent",27,38,50,0,0,324,329,97,504,506,435,6,3,2,2093,650,585,52.6,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Lyon","Ligue 1","team",26,38,71,2,1,475,530,80,572,450,411,6,8,3,2142,573,458,55.6,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"Lyon","Ligue 1","opponent",26,38,75,7,4,556,450,51,742,462,504,8,7,2,2044,458,573,44.4,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"M'Gladbach","Bundesliga","team",27,34,NA,NA,0,398,411,73,490,384,488,5,4,1,1428,516,504,50.6,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"M'Gladbach","Bundesliga","opponent",27,34,53,3,1,437,382,60,732,425,527,2,7,1,1474,504,516,49.4,"https://fbref.com/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats"
2018,"Mainz 05","Bundesliga","team",27,34,NA,NA,2,531,435,67,546,402,522,3,7,1,1512,683,657,51,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Mainz 05","Bundesliga","opponent",27,34,73,3,2,459,508,36,630,381,555,6,4,0,1535,657,683,49,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Manchester City","Premier League","team",25,38,NA,NA,2,344,354,67,691,346,381,8,2,2,2104,512,418,55.1,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester City","Premier League","opponent",25,38,77,3,1,366,324,97,364,599,416,2,8,3,1832,418,512,44.9,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester Utd","Premier League","team",27,38,NA,NA,0,405,422,88,753,481,369,1,1,2,2133,617,493,55.6,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
2018,"Manchester Utd","Premier League","opponent",27,38,69,1,1,435,392,52,642,438,447,1,3,1,2104,493,617,44.4,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
2018,"Marseille","Ligue 1","team",26,38,81,2,0,508,481,78,864,448,505,7,6,2,2246,607,571,51.5,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
2018,"Marseille","Ligue 1","opponent",26,38,64,5,2,496,492,60,570,473,447,5,8,1,1993,571,607,48.5,"https://fbref.com/en/squads/5725cc7b/2017-2018/Marseille-Stats"
2018,"Metz","Ligue 1","team",36,38,78,7,2,532,435,56,701,511,458,2,5,2,2204,615,725,45.9,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Metz","Ligue 1","opponent",36,38,54,5,2,460,510,104,712,433,416,5,4,1,2243,725,615,54.1,"https://fbref.com/en/squads/f83960ae/2017-2018/Metz-Stats"
2018,"Milan","Serie A","team",23,38,NA,NA,4,495,478,88,872,354,376,4,3,1,1954,440,500,46.8,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Milan","Serie A","opponent",23,38,80,6,5,517,466,107,633,432,346,3,6,2,1834,500,440,53.2,"https://fbref.com/en/squads/dc56fe14/2017-2018/Milan-Stats"
2018,"Monaco","Ligue 1","team",32,38,70,4,1,508,517,73,764,497,433,8,5,1,2069,612,609,50.1,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Monaco","Ligue 1","opponent",32,38,68,4,0,546,486,84,736,427,451,4,8,2,2135,609,612,49.9,"https://fbref.com/en/squads/fd6114db/2017-2018/Monaco-Stats"
2018,"Montpellier","Ligue 1","team",23,38,72,1,0,447,528,83,849,499,450,2,6,0,2220,633,554,53.3,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Montpellier","Ligue 1","opponent",23,38,77,2,1,554,425,53,632,501,430,4,2,0,2175,554,633,46.7,"https://fbref.com/en/squads/281b0e73/2017-2018/Montpellier-Stats"
2018,"Málaga","La Liga","team",37,38,99,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Málaga","La Liga","opponent",37,38,76,0,0,472,583,137,695,452,509,7,6,1,2107,739,602,55.1,"https://fbref.com/en/squads/1c896955/2017-2018/Malaga-Stats"
2018,"Nantes","Ligue 1","team",30,38,63,6,5,490,409,85,789,426,510,4,4,1,2243,667,692,49.1,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Nantes","Ligue 1","opponent",30,38,73,2,1,433,459,40,868,448,422,4,5,0,2129,692,667,50.9,"https://fbref.com/en/squads/d7a486cd/2017-2018/Nantes-Stats"
2018,"Napoli","Serie A","team",23,38,NA,NA,1,349,369,80,672,341,407,7,2,0,2393,375,436,46.2,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Napoli","Serie A","opponent",23,38,84,0,0,391,336,97,461,653,415,2,8,4,2218,436,375,53.8,"https://fbref.com/en/squads/d48ad4ff/2017-2018/Napoli-Stats"
2018,"Newcastle Utd","Premier League","team",27,38,NA,NA,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Newcastle Utd","Premier League","opponent",27,38,62,0,0,388,391,79,805,379,429,6,1,1,2104,927,884,51.2,"https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats"
2018,"Nice","Ligue 1","team",31,38,80,4,2,445,533,63,572,437,398,9,5,3,1939,388,381,50.5,"https://fbref.com/en/squads/132ebc33/2017-2018/Nice-Stats"
